scope_id,scope_name,scope_kind,depends_on_scopes,required_gates,blocking_reason_codes,non_blocking_reason_codes,market_comparison_gate
P1.rushing_attempts,prop family rushing_attempts,BETTING,F2,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.rushing_yards,prop family rushing_yards,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.receptions,prop family receptions,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.receiving_yards,prop family receiving_yards,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.targets,prop family targets,BETTING,F2,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.longest_reception,prop family longest_reception,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.anytime_td,prop family anytime_td,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.kicking_points,prop family kicking_points,BETTING,F4,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P2,SGP joints (legs selected per ticket),BETTING,P1.*,G-XXI-1;G-XVIII-1;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
D1,Classic DFS projections,DFS,F3;F4;F5,G-II-2;G-XXIV-1;G-XXV-2;G-XXXI-1;G-XVIII-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;IDENTITY_UNRESOLVED;CALIBRATION_INFEASIBLE,,
D2,Showdown projections,DFS,F3;F4;F5,G-II-2;G-XXX-1;G-XXV-2;G-XVIII-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;IDENTITY_UNRESOLVED;CALIBRATION_INFEASIBLE,,
D3,ownership (Classic),DFS,D1,G-XXV-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;IDENTITY_UNRESOLVED;CALIBRATION_INFEASIBLE,,
D4,field and duplication (Classic),DFS,D3,G-XXVI-1;G-XXVII-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;IDENTITY_UNRESOLVED;CALIBRATION_INFEASIBLE,,
D5,contest simulation and portfolio (Classic),DFS,D4,G-XXVIII-1;G-XXIX-1;G-XXIX-2;G-XXXVII-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;IDENTITY_UNRESOLVED;CALIBRATION_INFEASIBLE,,G-XXIX-2
N1,research dashboards,NON_BETTING,F1,G-XLVI-1,RELEASE_UNPROVEN;NO_OUTPUT,IDENTITY_UNRESOLVED;MARKET_INTERVAL_INCLUDES_ZERO;STALE_INPUT,
N2,evidence and state viewer,NON_BETTING,,G-I-1;G-I-2;G-XLVI-1;G-I-3,,IDENTITY_UNRESOLVED;MARKET_INTERVAL_INCLUDES_ZERO;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN,
N3,explainability views,NON_BETTING,F3,G-XLVI-1;G-X-3,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED,IDENTITY_UNRESOLVED;MARKET_INTERVAL_INCLUDES_ZERO,
D3.showdown,ownership (Showdown),DFS,D2,G-XXV-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;IDENTITY_UNRESOLVED;CALIBRATION_INFEASIBLE,,
D4.showdown,field and duplication (Showdown),DFS,D3.showdown,G-XXVI-1;G-XXVII-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;IDENTITY_UNRESOLVED;CALIBRATION_INFEASIBLE,,
D5.showdown,contest simulation and portfolio (Showdown),DFS,D4.showdown,G-XXVIII-1;G-XXIX-1;G-XXIX-2;G-XXXVII-2;G-XXX-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;IDENTITY_UNRESOLVED;CALIBRATION_INFEASIBLE,,G-XXIX-2
