Entry ID,Contest Name,Contest ID,Entry Fee,CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
5259382684,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,1. Column A lists all of your contest entries for this draftgroup
5259402795,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,2. Your current lineup is listed next to each entry (blank for reservations)
5259402796,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5259402797,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5259402798,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,5. For faster processing only include entries you are changing in the file you upload
5259402799,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,
5259402800,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5259402811,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,TE,Dalton Kincaid (44138485),Dalton Kincaid,44138485,CPT,10200,DET@BUF 09/17/2026 08:15PM ET,BUF,21
5259402812,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Jared Goff (44138435),Jared Goff,44138435,FLEX,9600,DET@BUF 09/17/2026 08:15PM ET,DET,16.44
5259402813,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,Khalil Shakir (44138486),Khalil Shakir,44138486,CPT,9600,DET@BUF 09/17/2026 08:15PM ET,BUF,9
5259394816,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,RB,James Cook III (44138436),James Cook III,44138436,FLEX,9400,DET@BUF 09/17/2026 08:15PM ET,BUF,9.9
5259394817,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Shane Buechele (44138487),Shane Buechele,44138487,CPT,9000,DET@BUF 09/17/2026 08:15PM ET,BUF,0
5259394818,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Kyle Allen (44138488),Kyle Allen,44138488,CPT,9000,DET@BUF 09/17/2026 08:15PM ET,BUF,0
5259394819,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Luke Altmyer (44138489),Luke Altmyer,44138489,CPT,9000,DET@BUF 09/17/2026 08:15PM ET,DET,0
5259394820,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Joshua Dobbs (44138490),Joshua Dobbs,44138490,CPT,9000,DET@BUF 09/17/2026 08:15PM ET,DET,0
5259394821,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,TE,Sam LaPorta (44138491),Sam LaPorta,44138491,CPT,8100,DET@BUF 09/17/2026 08:15PM ET,DET,9.8
5259394822,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,DJ Moore (44138437),DJ Moore,44138437,FLEX,7800,DET@BUF 09/17/2026 08:15PM ET,BUF,24
5259394823,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,K,Tyler Bass (44138492),Tyler Bass,44138492,CPT,7500,DET@BUF 09/17/2026 08:15PM ET,BUF,13
5259394824,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,Jameson Williams (44138438),Jameson Williams,44138438,FLEX,7400,DET@BUF 09/17/2026 08:15PM ET,DET,8.5
5259394825,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,K,Jake Bates (44138493),Jake Bates,44138493,CPT,7200,DET@BUF 09/17/2026 08:15PM ET,DET,7
5259394826,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,TE,Dalton Kincaid (44138439),Dalton Kincaid,44138439,FLEX,6800,DET@BUF 09/17/2026 08:15PM ET,BUF,21
5259394827,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,Khalil Shakir (44138440),Khalil Shakir,44138440,FLEX,6400,DET@BUF 09/17/2026 08:15PM ET,BUF,9
5259394828,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Shane Buechele (44138441),Shane Buechele,44138441,FLEX,6000,DET@BUF 09/17/2026 08:15PM ET,BUF,0
5259394829,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Kyle Allen (44138442),Kyle Allen,44138442,FLEX,6000,DET@BUF 09/17/2026 08:15PM ET,BUF,0
5259394830,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Luke Altmyer (44138443),Luke Altmyer,44138443,FLEX,6000,DET@BUF 09/17/2026 08:15PM ET,DET,0
5259394831,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Joshua Dobbs (44138444),Joshua Dobbs,44138444,FLEX,6000,DET@BUF 09/17/2026 08:15PM ET,DET,0
5259394832,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,Keon Coleman (44138494),Keon Coleman,44138494,CPT,6000,DET@BUF 09/17/2026 08:15PM ET,BUF,1.1
5259394833,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,Isaac TeSlaa (44138495),Isaac TeSlaa,44138495,CPT,5700,DET@BUF 09/17/2026 08:15PM ET,DET,0
5259394834,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,TE,Sam LaPorta (44138445),Sam LaPorta,44138445,FLEX,5400,DET@BUF 09/17/2026 08:15PM ET,DET,9.8
5259394835,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,DST,Bills  (44138496),Bills ,44138496,CPT,5400,DET@BUF 09/17/2026 08:15PM ET,BUF,6
,,,,,,,,,,,DST,Lions  (44138497),Lions ,44138497,CPT,5100,DET@BUF 09/17/2026 08:15PM ET,DET,10
,,,,,,,,,,,K,Tyler Bass (44138446),Tyler Bass,44138446,FLEX,5000,DET@BUF 09/17/2026 08:15PM ET,BUF,13
,,,,,,,,,,,K,Jake Bates (44138447),Jake Bates,44138447,FLEX,4800,DET@BUF 09/17/2026 08:15PM ET,DET,7
,,,,,,,,,,,WR,Joshua Palmer (44138498),Joshua Palmer,44138498,CPT,4800,DET@BUF 09/17/2026 08:15PM ET,BUF,10.4
,,,,,,,,,,,RB,Sione Vaki (44138499),Sione Vaki,44138499,CPT,4500,DET@BUF 09/17/2026 08:15PM ET,DET,2.8
,,,,,,,,,,,TE,Dawson Knox (44138500),Dawson Knox,44138500,CPT,4200,DET@BUF 09/17/2026 08:15PM ET,BUF,1.7
,,,,,,,,,,,WR,Keon Coleman (44138448),Keon Coleman,44138448,FLEX,4000,DET@BUF 09/17/2026 08:15PM ET,BUF,1.1
,,,,,,,,,,,WR,Isaac TeSlaa (44138449),Isaac TeSlaa,44138449,FLEX,3800,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,DST,Bills  (44138450),Bills ,44138450,FLEX,3600,DET@BUF 09/17/2026 08:15PM ET,BUF,6
,,,,,,,,,,,RB,Ray Davis (44138501),Ray Davis,44138501,CPT,3600,DET@BUF 09/17/2026 08:15PM ET,BUF,0.3
,,,,,,,,,,,DST,Lions  (44138451),Lions ,44138451,FLEX,3400,DET@BUF 09/17/2026 08:15PM ET,DET,10
,,,,,,,,,,,WR,Joshua Palmer (44138452),Joshua Palmer,44138452,FLEX,3200,DET@BUF 09/17/2026 08:15PM ET,BUF,10.4
,,,,,,,,,,,RB,Sione Vaki (44138453),Sione Vaki,44138453,FLEX,3000,DET@BUF 09/17/2026 08:15PM ET,DET,2.8
,,,,,,,,,,,RB,Ty Johnson (44138502),Ty Johnson,44138502,CPT,3000,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,TE,Dawson Knox (44138454),Dawson Knox,44138454,FLEX,2800,DET@BUF 09/17/2026 08:15PM ET,BUF,1.7
,,,,,,,,,,,TE,Brock Wright (44138503),Brock Wright,44138503,CPT,2700,DET@BUF 09/17/2026 08:15PM ET,DET,1.5
,,,,,,,,,,,RB,Ray Davis (44138455),Ray Davis,44138455,FLEX,2400,DET@BUF 09/17/2026 08:15PM ET,BUF,0.3
,,,,,,,,,,,TE,Tyler Conklin (44138504),Tyler Conklin,44138504,CPT,2400,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,RB,Jacob Saylors (44138505),Jacob Saylors,44138505,CPT,2100,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,RB,Ty Johnson (44138456),Ty Johnson,44138456,FLEX,2000,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,TE,Brock Wright (44138457),Brock Wright,44138457,FLEX,1800,DET@BUF 09/17/2026 08:15PM ET,DET,1.5
,,,,,,,,,,,WR,Tom Kennedy (44138506),Tom Kennedy,44138506,CPT,1800,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,TE,Tyler Conklin (44138458),Tyler Conklin,44138458,FLEX,1600,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Greg Dortch (44138507),Greg Dortch,44138507,CPT,1500,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,RB,Jacob Saylors (44138459),Jacob Saylors,44138459,FLEX,1400,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Tom Kennedy (44138460),Tom Kennedy,44138460,FLEX,1200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Tay Martin (44138508),Tay Martin,44138508,CPT,1200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Greg Dortch (44138461),Greg Dortch,44138461,FLEX,1000,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,TE,Jackson Hawes (44138509),Jackson Hawes,44138509,CPT,900,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Tay Martin (44138462),Tay Martin,44138462,FLEX,800,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,TE,Jackson Hawes (44138463),Jackson Hawes,44138463,FLEX,600,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,RB,Frank Gore Jr. (44138510),Frank Gore Jr.,44138510,CPT,600,DET@BUF 09/17/2026 08:15PM ET,BUF,0.3
,,,,,,,,,,,RB,Frank Gore Jr. (44138464),Frank Gore Jr.,44138464,FLEX,400,DET@BUF 09/17/2026 08:15PM ET,BUF,0.3
,,,,,,,,,,,RB,Isiah Pacheco (44138511),Isiah Pacheco,44138511,CPT,300,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,RB,Jabari Small (44138512),Jabari Small,44138512,CPT,300,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Skyler Bell (44138513),Skyler Bell,44138513,CPT,300,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Kendrick Law (44138514),Kendrick Law,44138514,CPT,300,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Ja'Mori Maclin (44138515),Ja'Mori Maclin,44138515,CPT,300,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Trent Sherfield Sr. (44138516),Trent Sherfield Sr.,44138516,CPT,300,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Stephen Gosnell (44138517),Stephen Gosnell,44138517,CPT,300,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Lucky Jackson (44138518),Lucky Jackson,44138518,CPT,300,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Dominic Lovett (44138519),Dominic Lovett,44138519,CPT,300,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,TE,Jackson Meeks (44138520),Jackson Meeks,44138520,CPT,300,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,TE,Keleki Latu (44138521),Keleki Latu,44138521,CPT,300,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,TE,Thomas Gordon (44138522),Thomas Gordon,44138522,CPT,300,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Tyrell Shavers (44138523),Tyrell Shavers,44138523,CPT,300,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,RB,Brock Lampe (44172469),Brock Lampe,44172469,CPT,300,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,RB,Isiah Pacheco (44138465),Isiah Pacheco,44138465,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,RB,Jabari Small (44138466),Jabari Small,44138466,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Skyler Bell (44138467),Skyler Bell,44138467,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Kendrick Law (44138468),Kendrick Law,44138468,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Ja'Mori Maclin (44138469),Ja'Mori Maclin,44138469,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Trent Sherfield Sr. (44138470),Trent Sherfield Sr.,44138470,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Stephen Gosnell (44138471),Stephen Gosnell,44138471,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,WR,Lucky Jackson (44138472),Lucky Jackson,44138472,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Dominic Lovett (44138473),Dominic Lovett,44138473,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,TE,Jackson Meeks (44138474),Jackson Meeks,44138474,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,TE,Keleki Latu (44138475),Keleki Latu,44138475,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,TE,Thomas Gordon (44138476),Thomas Gordon,44138476,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0
,,,,,,,,,,,WR,Tyrell Shavers (44138477),Tyrell Shavers,44138477,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0
,,,,,,,,,,,RB,Brock Lampe (44172468),Brock Lampe,44172468,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0
