Entry ID,Contest Name,Contest ID,Entry Fee,CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
5264471302,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,1. Column A lists all of your contest entries for this draftgroup
5264471303,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,2. Your current lineup is listed next to each entry (blank for reservations)
5264471304,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5264471305,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5264471306,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,5. For faster processing only include entries you are changing in the file you upload
5264471307,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,
5264471308,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5264471324,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Garrett Nussmeier (44191078),Garrett Nussmeier,44191078,CPT,9000,IND@KC 09/20/2026 08:20PM ET,KC,0
5264471325,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Anthony Richardson Sr. (44191079),Anthony Richardson Sr.,44191079,CPT,9000,IND@KC 09/20/2026 08:20PM ET,IND,0
5264471326,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Riley Leonard (44191080),Riley Leonard,44191080,CPT,9000,IND@KC 09/20/2026 08:20PM ET,IND,0
5264471327,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Keenan Allen (44191081),Keenan Allen,44191081,CPT,8400,IND@KC 09/20/2026 08:20PM ET,IND,9.2
5264471328,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Xavier Worthy (44191082),Xavier Worthy,44191082,CPT,8100,IND@KC 09/20/2026 08:20PM ET,KC,4.8
5264471329,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Alec Pierce (44191019),Alec Pierce,44191019,FLEX,7600,IND@KC 09/20/2026 08:20PM ET,IND,10.1
5264471330,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,K,Harrison Butker (44191083),Harrison Butker,44191083,CPT,7500,IND@KC 09/20/2026 08:20PM ET,KC,7
5264471331,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Tyler Warren (44191020),Tyler Warren,44191020,FLEX,7200,IND@KC 09/20/2026 08:20PM ET,IND,10.3
5264471332,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,K,Spencer Shrader (44191084),Spencer Shrader,44191084,CPT,6900,IND@KC 09/20/2026 08:20PM ET,IND,7
5264471333,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Josh Downs (44191021),Josh Downs,44191021,FLEX,6600,IND@KC 09/20/2026 08:20PM ET,IND,5.7
5264471334,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,DST,Chiefs  (44191085),Chiefs ,44191085,CPT,6300,IND@KC 09/20/2026 08:20PM ET,KC,12
5264471335,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Travis Kelce (44191022),Travis Kelce,44191022,FLEX,6200,IND@KC 09/20/2026 08:20PM ET,KC,10.1
5264471336,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Justin Fields (44191023),Justin Fields,44191023,FLEX,6000,IND@KC 09/20/2026 08:20PM ET,KC,0
5264471337,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Garrett Nussmeier (44191024),Garrett Nussmeier,44191024,FLEX,6000,IND@KC 09/20/2026 08:20PM ET,KC,0
5264471026,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Anthony Richardson Sr. (44191025),Anthony Richardson Sr.,44191025,FLEX,6000,IND@KC 09/20/2026 08:20PM ET,IND,0
5264471027,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Riley Leonard (44191026),Riley Leonard,44191026,FLEX,6000,IND@KC 09/20/2026 08:20PM ET,IND,0
5264471028,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Tyquan Thornton (44191086),Tyquan Thornton,44191086,CPT,5700,IND@KC 09/20/2026 08:20PM ET,KC,0
5264471029,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Keenan Allen (44191027),Keenan Allen,44191027,FLEX,5600,IND@KC 09/20/2026 08:20PM ET,IND,9.2
5264471030,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Xavier Worthy (44191028),Xavier Worthy,44191028,FLEX,5400,IND@KC 09/20/2026 08:20PM ET,KC,4.8
5264471031,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Emmett Johnson (44191087),Emmett Johnson,44191087,CPT,5400,IND@KC 09/20/2026 08:20PM ET,KC,8.8
5264471032,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Seth McGowan (44191088),Seth McGowan,44191088,CPT,5100,IND@KC 09/20/2026 08:20PM ET,IND,1
5264471033,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,K,Harrison Butker (44191029),Harrison Butker,44191029,FLEX,5000,IND@KC 09/20/2026 08:20PM ET,KC,7
5264471034,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,DST,Colts  (44191089),Colts ,44191089,CPT,4800,IND@KC 09/20/2026 08:20PM ET,IND,0
5264471035,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,K,Spencer Shrader (44191030),Spencer Shrader,44191030,FLEX,4600,IND@KC 09/20/2026 08:20PM ET,IND,7
5264471036,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Noah Gray (44191090),Noah Gray,44191090,CPT,4500,IND@KC 09/20/2026 08:20PM ET,KC,1.5
5264471037,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,DST,Chiefs  (44191031),Chiefs ,44191031,FLEX,4200,IND@KC 09/20/2026 08:20PM ET,KC,12
5264471038,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Cyrus Allen (44191091),Cyrus Allen,44191091,CPT,4200,IND@KC 09/20/2026 08:20PM ET,KC,0
5264471039,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Tyquan Thornton (44191032),Tyquan Thornton,44191032,FLEX,3800,IND@KC 09/20/2026 08:20PM ET,KC,0
5264471040,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Emmett Johnson (44191033),Emmett Johnson,44191033,FLEX,3600,IND@KC 09/20/2026 08:20PM ET,KC,8.8
5264471041,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Mo Alie-Cox (44191092),Mo Alie-Cox,44191092,CPT,3600,IND@KC 09/20/2026 08:20PM ET,IND,0
5264471042,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Seth McGowan (44191034),Seth McGowan,44191034,FLEX,3400,IND@KC 09/20/2026 08:20PM ET,IND,1
5264471043,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,DST,Colts  (44191035),Colts ,44191035,FLEX,3200,IND@KC 09/20/2026 08:20PM ET,IND,0
5264471044,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Noah Gray (44191036),Noah Gray,44191036,FLEX,3000,IND@KC 09/20/2026 08:20PM ET,KC,1.5
5264471045,NFL Showdown $6K Quarter Jukebox [Just $0.25!] (IND @ KC),195785967,$0.25,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Laquon Treadwell (44191093),Laquon Treadwell,44191093,CPT,3000,IND@KC 09/20/2026 08:20PM ET,IND,0
5264470923,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Cyrus Allen (44191037),Cyrus Allen,44191037,FLEX,2800,IND@KC 09/20/2026 08:20PM ET,KC,0
5264475641,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Mo Alie-Cox (44191038),Mo Alie-Cox,44191038,FLEX,2400,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475642,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Jake Briningstool (44191094),Jake Briningstool,44191094,CPT,2400,IND@KC 09/20/2026 08:20PM ET,KC,1.9
5264475643,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,DJ Giddens (44191095),DJ Giddens,44191095,CPT,2100,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475644,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Laquon Treadwell (44191039),Laquon Treadwell,44191039,FLEX,2000,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475645,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Jalen Royals (44191096),Jalen Royals,44191096,CPT,1800,IND@KC 09/20/2026 08:20PM ET,KC,0
5264475646,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Jake Briningstool (44191040),Jake Briningstool,44191040,FLEX,1600,IND@KC 09/20/2026 08:20PM ET,KC,1.9
5264475647,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Deion Burks (44191097),Deion Burks,44191097,CPT,1500,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475648,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,DJ Giddens (44191041),DJ Giddens,44191041,FLEX,1400,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475649,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Jalen Royals (44191042),Jalen Royals,44191042,FLEX,1200,IND@KC 09/20/2026 08:20PM ET,KC,0
5264475650,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Nikko Remigio (44191098),Nikko Remigio,44191098,CPT,1200,IND@KC 09/20/2026 08:20PM ET,KC,0
5264475651,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Deion Burks (44191043),Deion Burks,44191043,FLEX,1000,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475652,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Drew Ogletree (44191099),Drew Ogletree,44191099,CPT,900,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475653,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Nikko Remigio (44191044),Nikko Remigio,44191044,FLEX,800,IND@KC 09/20/2026 08:20PM ET,KC,0
